0,2,1361.1674970823,21025,,1361.1674970823,1361.1674970823
0,1,1361.1674970823,23771,,1319.0486449868,1367.1263846567
1,2,1367.1263846567,18493,,1351.7943430051,1170.2836056742
1,1,1319.0486449868,24006,,1325.6195779228,1206.5922730956
2,1,1351.7943430051,23136,,1326.2908940982,1157.641693846
2,2,1170.2836056742,18461,,1368.4912207836,1174.7322003666
3,1,1325.6195779228,23187,,1349.7067337804,1356.3257832948
3,2,1206.5922730956,18838,,1376.5807556953,1141.2353557297
4,1,1326.2908940982,23163,,1310.5760545884,1310.5760545884
4,2,1157.641693846,18409,,1322.8826991481,1322.8826991481
5,1,1368.4912207836,23007,,1346.6537692848,1165.7907022497
5,2,1174.7322003666,18733,,1322.6838650022,1322.6838650022
6,2,1356.3257832948,18995,,1334.2413954051,1374.1612122007
6,1,1349.7067337804,23557,,1346.1574675129,1346.1574675129
7,1,1376.5807556953,23121,,1377.5491934915,1187.4370467987
7,2,1141.2353557297,18306,,1307.470561556,1307.470561556
8,2,1310.5760545884,18597,,1368.4976914301,1148.646797667
8,1,1310.5760545884,23206,,1313.0580619017,1313.0580619017
9,2,1322.8826991481,18486,,1352.4472291551,1364.3363199048
9,1,1322.8826991481,23205,,1358.1947112691,1358.1947112691
10,1,1346.6537692848,23211,,1351.8605373533,1156.7879661346
10,2,1165.7907022497,18309,,1315.4398078763,1315.4398078763
11,2,1322.6838650022,18051,,1390.7129903142,1200.0629377891
11,1,1322.6838650022,23094,,1355.5347513389,1177.8904641004
12,2,1374.1612122007,19008,,1313.9789274032,1313.9789274032
12,1,1334.2413954051,23336,,1385.7200016204,1149.8320789356
13,2,1346.1574675129,18493,,1367.0479425485,1161.3038019303
13,1,1346.1574675129,23146,,1346.2584997295,1163.0202290868
14,1,1377.5491934915,23189,,1302.2207823215,1342.9202152322
14,2,1187.4370467987,18212,,1334.9100647566,1340.245788693
15,2,1307.470561556,18531,,,
15,1,1307.470561556,23634,,,
16,1,1368.4976914301,23374,,,
16,2,1148.646797667,18140,,,
17,2,1313.0580619017,19216,,,
17,1,1313.0580619017,23100,,,
18,2,1364.3363199048,18703,,,
18,1,1352.4472291551,23109,,,
19,2,1358.1947112691,18499,,,
19,1,1358.1947112691,24615,,,
20,1,1351.8605373533,23298,,,
20,2,1156.7879661346,18429,,,
21,2,1315.4398078763,18164,,,
21,1,1315.4398078763,24420,,,
22,1,1390.7129903142,23172,,,
22,2,1200.0629377891,18543,,,
23,1,1355.5347513389,23274,,,
23,2,1177.8904641004,18093,,,
24,2,1313.9789274032,18350,,,
24,1,1313.9789274032,23288,,,
25,1,1385.7200016204,23070,,,
25,2,1149.8320789356,18206,,,
26,1,1367.0479425485,23258,,,
26,2,1161.3038019303,18272,,,
27,1,1346.2584997295,23139,,,
27,2,1163.0202290868,18813,,,
28,2,1342.9202152322,18163,,,
28,1,1302.2207823215,23163,,,
29,2,1340.245788693,18357,,,
29,1,1334.9100647566,23238,,,
