0,1,560.0975270308,9658,,560.0975270308,257.246720804
0,2,257.246720804,15566,,474.0587723466,173.9597148582
1,1,474.0587723466,10384,,267.6191196787,267.6191196787
1,2,173.9597148582,15219,,194.6674712416,194.6674712416
2,2,267.6191196787,8200,,732.4978955707,386.9740729221
2,1,267.6191196787,14428,,280.1966007019,280.1966007019
3,2,194.6674712416,10096,,623.0546115289,273.6941536524
3,1,194.6674712416,9233,,235.4376517571,235.4376517571
4,1,732.4978955707,6611,,203.2999822902,203.2999822902
4,2,386.9740729221,13177,,213.0252563622,213.0252563622
5,2,280.1966007019,7179,,585.9650256304,315.5725972427
5,1,280.1966007019,13201,,211.7632645374,211.7632645374
6,1,623.0546115289,11409,,525.1438563898,267.9442691852
6,2,273.6941536524,23264,,217.6487734923,217.6487734923
7,2,235.4376517571,4801,,208.2639895787,208.2639895787
7,1,235.4376517571,10085,,576.8301755193,351.7228180385
8,2,203.2999822902,5060,,143.2822121675,143.2822121675
8,1,203.2999822902,10861,,671.0034838952,334.8395044872
9,2,213.0252563622,4657,,251.5277632139,251.5277632144
9,1,213.0252563622,10483,,194.4428202986,194.4428202986
10,1,585.9650256304,7985,,196.5583167301,196.5583167305
10,2,315.5725972427,13936,,537.7403377003,249.8433293414
11,2,211.7632645374,7513,,162.4515375079,162.6019443701
11,1,211.7632645374,13114,,695.073205277,282.8328748375
12,1,525.1438563898,7680,,655.180657111,332.714741453
12,2,267.9442691852,13914,,268.9274777719,268.9274777719
13,2,217.6487734923,6471,,211.6529089302,211.6529089302
13,1,217.6487734923,8948,,179.69166062,179.6916606204
14,2,208.2639895787,5957,,174.135948916,174.135948916
14,1,208.2639895787,9019,,527.0295965784,309.1231117417
15,1,576.8301755193,9624,,,
15,2,351.7228180385,20885,,,
16,2,143.2822121675,7173,,,
16,1,143.2822121675,13974,,,
17,1,671.0034838952,8190,,,
17,2,334.8395044872,14334,,,
18,2,251.5277632144,10422,,,
18,1,251.5277632139,29686,,,
19,2,194.4428202986,5253,,,
19,1,194.4428202986,10577,,,
20,2,196.5583167305,10415,,,
20,1,196.5583167301,29595,,,
21,1,537.7403377003,8063,,,
21,2,249.8433293414,12695,,,
22,2,162.6019443701,10076,,,
22,1,162.4515375079,27905,,,
23,1,695.073205277,7735,,,
23,2,282.8328748375,13209,,,
24,1,655.180657111,10594,,,
24,2,332.714741453,22132,,,
25,2,268.9274777719,7398,,,
25,1,268.9274777719,13328,,,
26,2,211.6529089302,4884,,,
26,1,211.6529089302,10883,,,
27,2,179.6916606204,10107,,,
27,1,179.69166062,28821,,,
28,2,174.135948916,7321,,,
28,1,174.135948916,13633,,,
29,1,527.0295965784,7761,,,
29,2,309.1231117417,13578,,,
